CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3689242,"1 Clonmore, Kilteragh, Dooradoyle, Co. Limerick, V94 PCT9, Ireland",standard,2022-01-26,265000,3,3,Semi-D,135.0,Buy,0,3711.0,Kenneth Campbell,Campbells Auctioneers,UNBRANDED_AGENT,3.0,True,False,False,XXX,-8.3573628,54.9502887,-8.6351857,52.63833580000001
3689629,"Trimbleston, Goatstown Rd, Friarland, Dublin 14, Ireland",standard,2022-01-28,495000,2,2,Apartment,72.0,Buy,0,2607.0,Graham Gaughran,DNG Terenure,BRANDED_AGENT,12.0,False,False,False,E2,-6.31506,53.312315,-6.2321859,53.29894729999999
3690453,"24 The Willows, Moneenbradagh, Castlebar, Co. Mayo, F23 NA03, Ireland",standard,2022-01-30,189500,4,3,Semi-D,134.0,Buy,0,10104.0,Marc Browne,DNG Tallaght,BRANDED_AGENT,14.0,False,True,False,C2,-6.329462,53.273509,-9.287951699999999,53.8591282
3690452,"Portaliff Glebe, Killashandra, Co. Cavan, Ireland",standard,2022-01-28,20000,1,1,Detached,169.0,Buy,1,3242.0,John Clohessy,DNG O'Sullivan Hurley Property & Financial Services,BRANDED_AGENT,14.0,True,False,False,C3,-8.971497,52.811777,-7.5282313,54.0138727
3688958,"46 Park Gate, Tullowphelim, Co. Carlow, Ireland",standard,2022-01-26,335000,4,4,Detached,186.0,Buy,0,2542.0,Damian Keogan,DNG O'Dwyer,BRANDED_AGENT,24.0,False,False,False,XXX,-7.146342,53.849014,-6.7251227,52.8084839
3689968,"181 Comeragh Rd, Drimnagh, Dublin, D12 XN20, Ireland",standard,2022-01-30,319950,2,1,Semi-D,210.0,Buy,0,925.0,Paul Clarke BSc (Hons) MSc,DNG Duffy,BRANDED_AGENT,20.0,False,True,False,B3,-6.676491,53.898437,-6.327499,53.3295877
3690367,"79, 109 Parnell St, Rotunda, Dublin 1, Ireland",standard,2022-01-28,210000,1,1,Apartment,88.0,Buy,0,911.0,Dermot Gilchrest,Sherry FitzGerald Galway,BRANDED_AGENT,14.0,False,False,False,C1,-8.928016,53.263119,-6.2575639,53.35394969999999
3690422,"Kilkenny West, Co. Westmeath, Ireland",standard,2022-01-29,70000,1,1,Site,134.0,Buy,0,2650.0,David Dobbs,DNG Dun Laoghaire,BRANDED_AGENT,17.0,False,True,False,SI_666,-6.137401,53.291211,-7.828398900000001,53.4913991
3690406,"286 St James's Rd, Dublin 12, D12 T2N1, Ireland",standard,2022-01-30,395000,3,1,Terrace,94.0,Buy,0,10947.0,Northside Sales 2,Ray Cooke Auctioneers Finglas,BRANDED_AGENT,12.0,False,False,False,D1,-6.3925159,53.3885189,-6.3404165,53.30895779999999
3690401,"Craggaknock East, Creggane, Co. Clare, Ireland",standard,2022-01-30,150000,4,3,Detached,167.0,Buy,0,1147.0,Carmen Walsh Licence No 003604 – 008205,Manor Properties,UNBRANDED_AGENT,31.0,False,True,False,C1,-7.121989,52.408361,-9.4436664,52.7714759
3690403,"Apartment 1, The Poplar Lodge, The Woodlands, Rathfarnham, Dublin 14, Ireland",standard,2022-01-26,275000,1,1,Apartment,41.0,Buy,0,12282.0,Fair Deal Property,Fair Deal Property Ltd.,BRANDED_AGENT,21.0,False,False,False,C2,-8.899464,53.615921,-6.2812208,53.2983432
3690399,"61 Oak Rd, Grace Park, Dublin 9, D09 V6W2, Ireland",standard,2022-01-30,400000,3,2,Terrace,77.0,Buy,0,718.0,Darren Kelly,Noel Kelly Auctioneers LTD,BRANDED_AGENT,18.0,False,False,False,C1,-6.152224,53.419495,-6.221284799999999,53.3759331
